Sector,Track,Job Role,Job Role Description,Performance Expectation
Marine and Offshore,General Management,Chief Executive Officer / General Manager / President,"The Chief Executive Officer/General Manager/President defines long-term strategic direction to grow the business in line with the organisations overall vision, mission and values. He/She translates broad goals into achievable steps, anticipates and stays ahead of trends, and takes advantage of business opportunities. He represents the organisation with clients, investors, and business partners, and holds responsibility for fostering a culture of Workplace Safety and Health (WSH) and adherence to industry quality standards. He inspires the organisation towards achieving business goals and fulfilling the vision, mission and values by striving for continuous improvement and equipping the organisation to transition change and innovations.",
Marine and Offshore,General Management,Deputy General Manager / Chief Operating Officer,"The Deputy General Manager/Chief Operating Officer leads and develops a team with operational responsibilities to ensure that the organisation achieves its business objectives and is responsible for formulating long-term business strategies to achieve profitable revenue growth. He/She directs the preparation of operating budgets and proposals for capital expenditure and investments in infrastructure, technology, equipment, systems, and other assets and resources. He applies strategic thinking and people management strategies to manage key business relationships as well as ensure proper implementation of workplace safety and health (WSH) standards across the business verticals.",
Marine and Offshore,General Management,Operations Manager,"The Operations Manager is responsible for developing and managing operational activities, including the monitoring of workplace safety and health (WSH) strategies, and overseeing manpower, financial and resource plans. He/She analyses operations data, and determines new strategies to enhance the efficiency of processes, which includes assessing the viability of new machinery and technologies. The Operations Manager is comfortable with interacting with others frequently on the job, to direct and motivate a team of managers to achieve cross-functional operational goals, collaborate with other functions within the organisation, and maintain relationships with vendors and resolve customer issues.",
Marine and Offshore,Production Engineering,Assistant Production Engineer,"The Assistant Production Engineer assists project teams involved in different aspects of mechanical, structural and/or piping production, layout, installation and testing. He/She works actively on-site with other engineers to oversee manufacturing processes and ensures implementation of safe working practices. The Assistant Production Engineers duties require him to work outdoors on the shop floor, within dry docks and on board ships. He must possess a level of physical fitness appropriate to the job. He is also required to work in shifts based on operation schedules and project timelines. He should be adaptable to work under different job demands to handle new build projects that require attention to detail and repair jobs which emphasise quick response and turnaround. In the shipyard context, the Production Section Manager/Head of Department also takes full responsibility for organising and coordinating successful launches of ships and rigs into open water.","In accordance with: Classification Society regulations, Workplace Safety and Health (WSH) Act"
Marine and Offshore,Production Engineering,Assistant Quality Assurance / Quality Control Engineer,"The Assistant Quality Assurance/Quality Control Engineer assists the Quality Assurance and Quality Control (QA/QC) team in inspections and technical testing activities that measure, monitor, and improve the organisations quality policies and compliance with external regulations and standards. His/Her duties require him/her to work outdoors on the shop floor, within dry docks and onboard ships to support quality inspections and enforcement. He must be meticulous and possess a level of physical fitness appropriate to the job requirements to identify potential quality concerns across the organisation's operations.","In accordance with: Classification Society regulations, Workplace Safety and Health (WSH) Act"
Marine and Offshore,Production Engineering,Master Trade Specialist / Senior Trade Specialist / Trade Specialist,"The Master Trade Specialist/Senior Trade Specialist/Trade Specialist carries out complex electrical, electronic and/or mechanical work under the supervision of engineers. He/She is a technical expert, and an experienced worker, who is able to perform or supervise the execution of activities related to installation, calibration, repair and maintenance of electrical circuits and components and/or mechanical equipment. He assists in the development of technical documents relating to work processes and procedures and task reports and may engage the organisation's management and clients on technical aspects of projects. He should be adaptable to work under different job demands to handle new build projects that require attention to detail and repair jobs which emphasise quick response and turnaround.","In accordance with: Classification Society regulations, Workplace Safety and Health (WSH) Act"
Marine and Offshore,Production Engineering,Procurement Coordinator / Procurement Executive,"The Procurement Coordinator/Procurement Executive is responsible for routine sourcing and purchasing activities to deliver on ship, rig and/or conversion projects. He/She comes from an engineering background with work experience in production and/or design, and is able to translate project requirements into materials, equipment and services to procure. He has good communication and negotiation skills for engaging vendors and other external parties and follow up on vendors' deliverables. He also possesses good organisation skills for maintaining vendor contract records and databases.",
Marine and Offshore,Production Engineering,Procurement Manager,"The Procurement Manager leads the procurement function and is responsible for establishing procurement plans, policies and processes required to obtain the materials, equipment and services to deliver on marine manufacturing projects. He/She leads improvement initiatives to enhance the procurement process and timeliness of providing the necessary resources to complete projects on schedule. He has good communication and negotiation skills for engaging vendors and other external parties, and is able to balance the organisations needs, as the job encompasses a strategic role in selecting new vendors, fostering relationships and managing vendor performance and contract-related processes by liaising with legal and other key stakeholders.",
Marine and Offshore,Production Engineering,Production Engineer,"The Production Engineer oversees the steelwork processes in shipyards, as well as the manufacture of components and equipment on-site. He/She ensures that the processes being followed are in line with product designs, and that the relevant production methods are being applied to the manufacturing tasks and processes. His duties entail working outdoors on the shop floor, within dry docks and onboard ships. He must possess a level of physical fitness appropriate to the job requirements, and is also required to work in shifts based on operation schedules. He should be adaptable to working under different job demands to handle new build projects that require attention to detail and repair jobs which emphasise quick response and turnaround. In the marine equipment sub-sector, the Production Engineer also serves as a product specialist who assists in testing, carries out preventive maintenance schedules and overhauls machinery and lends support to the project management team for aftersales services. He is responsible for component preservation over the working life of products.","In accordance with: Classification Society regulations, Workplace Safety and Health (WSH) Act"
Marine and Offshore,Production Engineering,Production Section Manager / Head of Department,"The Production Section Manager/Head of Department leads the production department at the organisation and is in charge of ensuring efficient and productive operations in all projects. He/She acts as the liaison between other departments and ensures effective communication and seamless production workflow execution. He applies both technical and managerial skills to fulfil the responsibilities of managing both operations and employees within the department to meet the organisational business goals, leads a team of engineers and technicians, and is responsible for their training and development. He is comfortable with interacting with others frequently on the job, to direct and motivate a team to achieve operational goals. In the shipyard context, the Production Section Manager/Head of Department also takes full responsibility for organising and coordinating successful launches of ships and rigs into open water.","In accordance with: Classification Society regulations, Workplace Safety and Health (WSH) Act"
Marine and Offshore,Production Engineering,Quality Assurance / Quality Control Engineer,"The Quality Assurance/Quality Control Engineer is responsible for inspections and technical testing activities that measure and improve quality compliance with policies, regulations and standards. He/She further acts as a representative for the organisation before the classification societies. His duties require him to work outdoors on the shop floors, within dry docks and onboard ships to support quality enforcement. He must possess a level of physical fitness appropriate to the job requirements. He should be meticulous to identify potential quality concerns across the organisation's operations.","In accordance with: Classification Society regulations, Workplace Safety and Health (WSH) Act"
Marine and Offshore,Production Engineering,Quality Assurance / Quality Control Manager,"The Quality Assurance/Quality Control Manager is responsible for leading, implementing, and improving Quality Management Systems (QMS) infrastructure, governance and compliance processes and related frameworks in the organisation. He/She carries out audits to assess compliance with regulations, guidelines and operating procedures. He serves as the organisation's expert on Quality Assurance and Quality Control (QA/QC) matters and provides consultation to stakeholders to interpret quality-related regulations, guidelines, policies, and procedures.","In accordance with: Classification Society regulations, Workplace Safety and Health (WSH) Act"
Marine and Offshore,Production Engineering,Senior Procurement Executive,"The Senior Procurement Executive is responsible for managing procurement operations for the organisation's projects. He/She ensures adherence to quality standards in all procurement activities and processes, and further improves the procurement processes by proposing sourcing strategies and suggesting improvement initiatives to enhance the organisation's ability for timely delivery on projects. He typically comes from an engineering background with work experience in production and/or design. He has good communication and negotiation skills for engaging vendors and other external parties, to manage the vendor selection and evaluation processes, as well as vendor relationships and performance. As a worker with both engineering and procurement expertise, he may also be called upon to preparing training materials to develop the team's procurement capabilities.",
Marine and Offshore,Production Engineering,Senior Production Engineer,"The Senior Production Engineer heads the on-site manufacturing department and collaborates closely with the design department on projects to deliver cost effective, robust and timely solutions. He/She also manages resources efficiently and ensures quality assurance to achieve customer satisfaction through service excellence and reliability. He possesses technical knowledge and skills relating to the production of various ship and rig components, systems and equipment. The Senior Production Engineer's expertise is essential to his responsibilities to provide technical guidance to his team and lead projects of moderate complexity or less-routine in nature. He should be adaptable to work under different job demands to handle new build projects that require attention to detail and repair jobs which emphasise quick response and turnaround.","In accordance with: Classification Society regulations, Workplace Safety and Health (WSH) Act"
Marine and Offshore,Production Engineering,Senior Quality Assurance / Quality Control Engineer,"The Senior Quality Assurance/Quality Control Engineer is responsible for developing Quality Assurance and Quality Control (QA/QC) monitoring and measurement plans. He/She establishes and manages QA and compliance systems, and provides quality oversight to other departments on all quality-related matters. His duties require working outdoors on the shop floors, within dry docks and onboard ships to support quality enforcement. He must possess a level of physical fitness appropriate to the job requirements. He should be meticulous to identify potential quality concerns across the organisation's operations.","In accordance with: Classification Society regulations, Workplace Safety and Health (WSH) Act"
Marine and Offshore,Production Engineering,Supervisor / Chargehand / Foreman,"The Supervisor/Chargehand/Foreman oversees workers to ensure completion of individual tasks relating to manufacturing, servicing and repairs, troubleshooting and/or machinery calibration. He/She monitors assigned tasks, ensures tasks are appropriately staffed and supervised to meet schedules, budget and client requirements. He provides directions for continuous process improvement activities within assigned tasks. The Supervisor/Chargehand/Foreman requires an aptitude for people and diversity management, as well as empathy to appreciate the challenges to communication and understanding arising from the cultural differences of his workers. He should be adaptable to work under different job demands to handle new build projects that require attention to detail and repair jobs which emphasise quick response and turnaround. His duties require working outdoors on the shop floor, within dry docks and onboard ships, and must possess a level of physical fitness appropriate to the job requirements. He is also required to work in shifts based on operation schedules and project timelines.","In accordance with: Classification Society regulations, Workplace Safety and Health (WSH) Act"
Marine and Offshore,Production Engineering,Technician,"The Technician performs activities related to manufacturing, installation, calibration, repair and maintenance of electrical circuits and components and/or mechanical equipment. He/She possesses technical knowledge necessary for interpreting technical design drawings and specifications. The Technician's duties require him to work outdoors on the shop floor, within dry docks and onboard ships. He must possess a level of physical fitness appropriate to the job requirements, and is also required to work in shifts based on operations schedules. He is adaptable to working under different job demands to handle new build projects that require meticulous attention to detail and repair jobs which emphasise quick response and turnaround.","In accordance with: Classification Society regulations, Workplace Safety and Health (WSH) Act"
Marine and Offshore,Project Management,Project Engineer,"The Project Engineer is responsible for ensuring proper adoption of resource, quality, and risk standards during the project lifecycle. He/She coordinates all administrative processes related to a project, including the final project handover documentation. He typically comes from an engineering background with work experience in production and/or design, and is able to identify and report project-related issues, and suggests changes related to quality, risk, and administrative processes. He has good communication and negotiation skills for engaging with both internal and external parties to coordinate project activities between organisational departments and teams during the various phases of a project, as well as managing sub-contractors to ensure they are integrated into the project and adhering to technical requirements.","In accordance with: Classification Society regulations, Workplace Safety and Health (WSH) Act"
Marine and Offshore,Project Management,Project Manager,"The Project Manager is in charge of a range of projects undertaken by the organisation, and is responsible for ensuring complete product delivery and handover according to respective project scope specifications and standards. He/She plays a strategic role in managing the organisations many projects, and is responsible for defining project scopes, objectives, plans and performance measuring criteria to ensure the completion of project deliverables according to required standards and client expectations. He also leads project reviews to identify synergies and areas of improvements across the portfolio of projects. He has good communication and negotiation skills to manage key strategic stakeholders.","In accordance with: Classification Society regulations, Workplace Safety and Health (WSH) Act"
Marine and Offshore,Project Management,Senior Project Engineer,"The Senior Project Engineer is responsible for executing project management plans from start to finish, to ensure project completions on time, and within budget. He/She typically comes from an engineering background with work experience in production and/or design, and is able to develop project schedules, budgets and manage project staff and subcontractors. He has good communication and negotiation skills for engaging internal and external parties to secure specialised resources and contributions for projects, and managing ongoing relationships with sub-contractors. He oversees sub-contractors schedules, performance, and payments, and has the responsibility to reschedule and coordinate work to ensure compliance with applicable project schedules.","In accordance with: Classification Society regulations, Workplace Safety and Health (WSH) Act"
Marine and Offshore,Workplace Safety and Health,Senior Workplace Safety and Health Officer,"The Senior Workplace Safety and Health (WSH) Officer is responsible for administering and coordinating the organisations Workplace Safety And Health Management Systems (WSHMS), processes and policies. His/Her duties require him to work outdoors, conducting inspections on shop floors, within dry docks and onboard ships. He must possess a level of physical fitness appropriate to the job and in-depth WSH knowledge to enforce safety compliance at the workplace. He must possess a relevant qualification recognised by the Ministry of Manpower (MOM) to take on the job, and may be required to be registered with MOM. He should be comfortable interacting with people of diverse backgrounds, as the job entails liaising with stakeholders to address queries and advising on improvements to maintain WSH performance across the organisation. He also manages internal WSH audit systems and coordinates government agency visits, inspections, and compliance audits at the workplace.","In accordance with: Classification Society regulations, Workplace Safety and Health (WSH) Act"
Marine and Offshore,Workplace Safety and Health,Workplace Safety and Health Coordinator,"The Workplace Safety and Health (WSH) Coordinator supports the organisations WSH procedures by conducting safety checks, observing daily work practices, evaluating risks associated with identified hazards and escalating WSH issues for further action. His duties require him to work outdoors, conducting checks on shop floors, within dry docks and onboard ships. He must possess a level of physical fitness appropriate to the job, and must fulfil legally mandated WSH training to undertake the job and specific WSH tasks.","In accordance with: Classification Society regulations, Workplace Safety and Health (WSH) Act"
Marine and Offshore,Workplace Safety and Health,Workplace Safety and Health Manager,"The Workplace Safety and Health (WSH) Manager plays a strategic role in ensuring alignment between the organisation's WSH policy and its business and operational concerns. He collaborates closely with colleagues to facilitate effective enforcement of WSH parameters across the organisation, by evaluating current processes and systems, and staying abreast of legislative requirements and industry best practices in WSH. He must possess a relevant qualification recognised by the Ministry of Manpower (MOM) to take on the job, and may be required further to be registered with MOM. The WSH Manager should be comfortable interacting with people of diverse backgrounds, as the job entails liaising with internal and external stakeholders to maintain WSH performance across the organisation.","In accordance with: Classification Society regulations, Workplace Safety and Health (WSH) Act"
Marine and Offshore,Workplace Safety and Health,Workplace Safety and Health Officer,"The Workplace Safety and Health (WSH) Officer is responsible for implementing and maintaining the organisations WSH procedures to promote a safe work environment. He/She conducts incident investigations, evaluates risks associated with the hazards identified in the workplace and reports progress of corrective and preventive actions undertaken within nominated areas. He also attends Vessel Safety Coordination Committee (VSCC) meetings, and may assume the role of secretary to record meeting minutes. His duties require him to work outdoors, conducting inspections on shop floors, within dry docks and onboard ships. He must possess a level of physical fitness appropriate to the job, keen observation skills and in-depth WSH knowledge to enforce safety compliance. He must possess a relevant qualification recognised by the Ministry of Manpower (MOM), and may be further required to be registered with MOM.","In accordance with: Classification Society regulations, Workplace Safety and Health (WSH) Act"
Media,Content Post Production,Post-Production Assistant,"The Post-production Assistant supports the operational aspects of the post-production phase by performing administrative tasks and logistical management on a day-to-day basis. He/She is responsible for undertaking straightforward operational tasks associated with tracking the progress of the post-production process, assisting with the preparation and set-up of editing and ancillary equipment for post-productions and ingesting and copying of various media formats into an archive library. He will coordinate with production team to get access to the raw edited files and maintain effective control of resources, including equipment or media files during post-production processes. He is an individual contributor in an administrative role. He is expected to move around the production set to support any staff in need of assistance. He should be very organised to be able to deliver against instructions provided. He should also be a good communicator to be able to coordinate between key post-production and production personnel.",
Media,Content Post Production,Post-Production Supervisor,The Post-production Supervisor oversees all aspects of post-production processes and management of the post-production teams. He/She is responsible for resource and financial management by ensuring that projects are sufficiently staffed and delivered within allocated project budgets. He is also responsible for translating the creative vision of the production into clear action plans for the video editing teams and monitoring project progress to ensure it adheres to the production schedule. The working environment is primarily indoors in a video editing studio however he may be required to travel depending on the production requirements. He should have an effective understanding of the entire post-production process. He is able to manage projects and teams effectively. He ought to be able to communicate with all levels of stakeholders and should possess a good imagination and creative flair to edit videos that achieve the creative vision of the production.,
Media,Content Post Production,Sound Editor / Sound Engineer,"The Sound Editor/ Engineer executes sound edits required throughout the production. He/She operates sound equipment to cut and synchronise sound elements to the picture. He is also responsible for ensuring that all sound assets are labelled, saved and backed up on digital storage equipment. In some instances, he may be required to create the final mix for all sound and music elements in the production according to the creative vision. He works in in an editing studio, but may be required to travel depending on the production requirements. The work requires an understanding of sound recording processes, sound editing techniques and workflows like dialogue editing, automated dialogue replacement, foley and sound effects or music editing. He is required to be proficient in operating the digital audio workstation (DAW) that manages all sound editing processes and procedures. He should also possess a sense of storytelling and attention to details so as to be sensitive to appropriate sound qualities that may enhance the auditory elements in the story.",
Media,Content Post Production,Supervising Sound Editor (Sound Mixing),"The Supervising Sound Editor leads the sound editing team to create the overall feel of the sound in the post-production phase. He/She is responsible for the overall project management of the sound editing process and the quality of the sound edits. He/She checks all sound elements to conceptualise and determines the types of foley, automated dialogue replacement (ADR) and sound effects required for each scene. He also acts as a liaison with the other production teams to ensure that the required audio files are loaded on the systems and edits are aligned with the overall creative vision of the production. He may also be required to be a sound mixer who is able to identify sound mixing requirements and equipment based on the production script. He will be expected to perform sound mixing to produce perspective, acoustics and dynamic range aligned with production requirements and convert the final sound mix to the appropriate audio specifications for the production. He works in an editing studio, but may be required to travel depending on the production requirements. He should have a keen sense of imagination and a creative flair for storytelling. He is able to manage projects and teams effectively. He ought to be able to communicate with all levels of stakeholders.",
Media,Content Post Production,"Video Editor (Colour Grading, Online Editing)","The Video Editor is responsible for managing the video editing team and creating the final cut by assembling the raw recorded materials and other files. Before the video editing process, he/she is required to work closely with other production teams to understand requirements and communicate the intended creative vision for production. During the video editing process, he digitally cuts all the files and puts them in a narrative sequence that follows that script and screenplay. He is also responsible for refining the edited footages based on inputs from the creative leadership teams. Upon the completion of the video editing processes, he is required to do all final checks of the video formats and backups to ensure all videos are saved. In some instances, he may be required to be proficient in other areas of video editing. An area of specialisation is colour grading where he is required to digitally manipulate and correct the colours in the footages to accentuate the visual elements in the footages or online editing. Another specialisation is online editing where he is responsible for creating a final cut by combining all edited visual and audio elements. The working environment is primarily indoors in a video editing studio, however he may be required to travel depending on the production requirements. He ought to be proficient in using video editing software. He should maintain a good rapport with his team and be able to provide creative direction during the video editing process. He should also be attentive and diligent in the storage and editing of the various versions of content.",
Media,Content Production and Management,Assistant Director,"The Assistant Director supports the creative development of the content by coordinating the production operations. He/She is responsible for hiring the crew and support staff, developing and implementing production schedules, communicating the director's creative vision to the actors and providing creative inputs during editing. He breaks down the script into storyboards to guide the artists and works with the director to plan the shot order. He also oversees the securing of locations, props and other equipment. The work requires meeting tight deadlines with a high level of coordination with production cast and crew, as well as planning and scheduling of shooting operations. He is meticulous and is able to plan, organise and execute production schedules. He is required to be an effective communicator in order to manage stakeholders effectively. He should have an eye for detail and is able to make decisions under pressure.",
Media,Content Production and Management,Assistant Producer - Broadcast (Casting),"The Assistant Producer - Broadcast supports various phases of broadcast content production by coordinating the business and creative aspects of the production. He/She is responsible for managing day-to-day aspects of the creative production operations by liaising with key cast and crew, implementing schedule and script changes under guidance and ensuring a smooth transition from production to post-production phase. He also conducts location searches based on the briefs provided to suggest suitable locations and materials while managing the necessary requirements from scripts, budgetary constraints as well as regulatory requirements. He may be required to manage the end-to-end casting process including conducting research to identify upcoming talent, communicating requirements to talent agencies using casting calls, coordination of the audition process as well as the contracting process with the finalised cast. He is an individual contributor with primarily project management and some creative responsibilities. He is expected to coordinate with a number of internal and external stakeholders in order to perform these responsibilities. He needs to have an eye for detail and be meticulous to be able to plan, organise and manage his stakeholders well. A flair for creative storytelling will enable him to provide inputs for script refinement as well as communicate creative changes during production.",
Media,Content Production and Management,Assistant Producer - Film (Casting),"The Assistant Producer - Film supports various phases of content development by coordinating the business and creative aspects of the production. He/She assists in securing funds for production and hiring key cast and crew members during the pre-production phase. He is also responsible for coordinating the creative production operations including liaison with key cast and crew, implementing schedule and script changes under guidance and ensuring smooth transition from production to post-production phase. He may be required to manage the end-to-end casting process including doing research to identify upcoming talent, communicating requirements to talent agencies using casting calls, coordination of the auditioning process as well as the contracting process with the finalised cast. He is an individual contributor with creative and business responsibilities. He is expected to coordinate with a number of internal and external stakeholders in order to perform these responsibilities. He needs to have an eye for details and be meticulous to enable him to plan, organise and manage his stakeholders well. A flair for creative storytelling will enable him to provide inputs for script refinement as well as communicate creative changes during production.",
Media,Content Production and Management,Assistant Producer - News / Current Affairs,"The Assistant Producer - News/Current Affairs supports the production of news or current affairs content for the channel. He/She supports the content development efforts on various platforms by assisting in the research activities for assigned beats, assisting in developing the content for write ups and monitoring wires and news feeds to highlight breaking news to production teams for follow up. He supports the news/current affairs production process by tracking the progress of story development to ensure teams keep within production timelines and working closely with various production teams to ensure a smooth production. He works in a newsroom but may be assigned field activities at times. He should be able to adapt quickly to changes and perform well in a dynamic environment. He should have relevant experience working with a production setup and have a basic understanding of operating cameras, sound and editing systems. He ought to be an effective communicator. He should be a fast writer and have good news judgement.",
Media,Content Production and Management,Chief Editor,"The Chief Editor is responsible for leading and managing the news and current affairs editorial teams. He/She sets the direction of the team and oversees the operations of the news and currents affairs department. He ensures that the content produced by the department is journalistically sound and meets professional standards. He oversees the editorial budgets and ensures that the financial objectives of the department are being met. He works in a newsroom but is expected to travel out of the office often to engage with external counterparts, newsmakers and other related stakeholders. He does not follow a fixed schedule and works at irregular hours. He ought to be a good leader. He is meticulous as well as tactful enough to be able to manage a team of editors with minimal conflict. He takes direct responsibility for the final broadcast of content. He should possess the ability to communicate with people from all levels within the organisation and should have an eye for detail.",
Media,Content Production and Management,"Director (Single Camera Production, Multiple Camera Production)","The Director brings content concepts and/or ideas to life using his/her artistic vision. He/She is responsible for developing an idea into impactful and engaging content by visualising and defining the style and structure of the production. During the pre-production phase, he guides script development and makes key decisions on cast, crew and locations. He directs the content shoot with creative direction to both cast and crew. He also manages the technical aspects of production such as the camera, lighting, design and special effects departments. He guides the post-production crew to achieve the final cut of the production. He may also be required to manage single camera and multiple camera production operations by communicating production requirements to production teams and subsequently achieve the required shots for the production. The work involves conceptualising a creative vision to deliver the content and driving its execution with creative direction. It also needs high amount of concentration, collaboration and creative thinking. He ought to have a strong understanding of the entire content production process. He should possess a flair for storytelling to create compelling stories for various forms of visual media. He has an artistic vision to be able to visualise and create content for linear and non-linear forms of content. He should also be able to motivate teams to push the boundaries. He should have effective leadership, collaboration, communication and stakeholder management.",
Media,Content Production and Management,Executive Editor / Executive Producer - News and Current Affairs,"The Executive Editor/Executive Producer - News/Current Affairs is responsible for the overall operations and development of news and current affairs programme concepts. He/She is responsible for guiding the team to develop the most salient points in a story and vets stories for accuracy, objectivity and timeliness. He works together with sales and marketing teams and other partners to create and coordinate content, launch events, campaigns and promotion plans to increase viewership. He also manages post-broadcast issues and ensures that production complies with all policies and regulations. He works in a newsroom but may be assigned field activities at times. He should be able to adapt quickly to changes and perform well in a dynamic environment. He requires a thorough knowledge of current affairs locally and internationally. He should have experience in managing budgets and be able to identify management issues of individual departments. He possesses strong editorial sensitivity and the ability to prioritise and interpret the key stories of the day. He should be an effective negotiator. He also should have an expert command of language, effective oral and written communication. He ought to have a good understanding of camera, sound and editing systems.",
Media,Content Production and Management,Executive Producer - Broadcast,"The Executive Producer - Broadcast drives the execution of the organisation's content strategy and provides direction regarding the nature of the content to be produced based on creative and commercial rationale and driven by strong customer and/or audience insights. He/She is responsible for evaluating the creative and commercial aspects of content proposals, in consideration of the overall content strategy and take business decisions to approve and fund the project. He should also seek external financing and sponsorship for the approved projects if required. During the phases of production and post-production, he reviews content and provides creative inputs as well as gives the final approval for content release. He is also responsible for driving the monetisation strategy and plans for the projects he approves. The work involves business leadership and provision of guidance to the production department in identifying projects with high customer and/or audience appeal and monetisation potential. He is expected to liaise with external and internal stakeholders. He should be resourceful with extensive industry networks. He should also have a strong commercial acumen to analyse the monetisation potential of an idea. He ought to also be adept at communication and negotiation to enable effective stakeholder management.",
Media,Content Production and Management,Executive Producer - Film,"The Executive Producer - Film leads the development and execution of production plans for multiple productions and provides direction regarding the nature of the content to be produced by the organisation based on creative and commercial rationale and driven by strong customer and/or audience insights. He/She is responsible for evaluating the creative and commercial aspects of content proposals, in consideration of the overall content strategy and makes business decisions to approve and fund the project. He should also seek external financing for the approved projects if required. He is also responsible for driving the monetisation strategy and plans for the projects he approves. He should also seek legal clearances, where required, to protect the interests of the organisation. The work involves business leadership and provision of guidance to the production department in identifying projects with high customer and/or audience appeal and monetisation potential. He should also liaise with external and internal stakeholders. He is also expected to represent the organisation in external events or functions. He ought to be resourceful with extensive industry networks. He should have a strong commercial acumen to analyse the monetisation potential of an idea. He should also be adept at communication and negotiation to enable effective stakeholder management.",
Media,Content Production and Management,Head Scriptwriter,"The Head Scriptwriter conceives the long-term storyline and outlines the overall story in a sequential manner to guide writers. He/She is responsible for the overarching storyline and controls the narrative by guiding writers to develop scripts for various parts. He is responsible for evaluating the target audience and ensures that the ideas appeal to them. He guides the writers on script specifications to ensure that overall quality, budget and schedule are aligned with requirements. He works closely with the writers on each draft of their story and script, giving them feedback on the quality of their work, suggesting improvements that can be made while also ensuring that practical issues, like continuity and correct running time, are adhered to. He gets direction from the creative leadership team to execute the vision of the desired content and works with various production teams to ensure that the story is translated to a visual concept in an appropriate way. He is involved during the production phase to understand technical and production constraints and may be called to aid in the identification of solutions for required story adaptations. The work involves working both in an individual capacity and as a team. He may be required to travel depending on the production requirements. He should be familiar with the local needs of the primary market and have a deep understanding of the interest and motivations of the target audience to create stories that engage them. He is effective at storytelling and has an expert grasp of the language. He should also understand the production processes, techniques and have an expert knowledge on the regulatory requirements to be able to write effectively for various linear and non-linear visual content in order to identify possibilities of legal issues that may occur during the script development process.",
Media,Content Production and Management,Junior Scriptwriter / Junior Writer,"The Junior Scriptwriter/Junior Writer supports the script development processes by supporting the origination or development of an idea for consideration by key stakeholders. He/She identifies relevant sources for research, collates and assesses information from various sources. He verifies sources of information, based on industry requirements and presents findings to the decision makers for development of programme ideas. He assists the scriptwriter with the development of scripts and checks the accuracy of the final written materials. He also checks for any conflicts with legal, compliance and copyright requirements. He is expected to work in an unstructured work environment with less defined job scope and working hours and should be comfortable in working across all production genres. He is required to have effective fact checking and concise writing capability, with the ability to select relevant materials to be presented. He should to be able to conceptualise ideas and possesses an understanding of the pre-production and production process. He should be effective in managing relationships in order to liaise with multiple stakeholders.",
Media,Content Production and Management,Line Producer - Film,"The Line Producer - Film manages the entire production project to ensure its completion within budget and project timelines to retain its projected monetisation potential. He/She is responsible for driving the project by managing the production budget and project timelines, overseeing hiring of key cast and crew as well as the functioning of the production office to track production progress and resolving pressing issues. He also approves the location and vendor selection of large projects. The work involves high-level project management, leadership of project teams and critical decision making from time to time. He is expected to liaise both internally and externally to ensure smooth production operations. He ought to be an effective project manager with strong communication ability to manage stakeholders. He should be an astute financial manager with strong proficiency in budgetary planning and management. He is also expected to be well versed with all processes involved in a production lifecycle.",
Media,Content Production and Management,Producer - Broadcast (Casting),"The Producer - Broadcast leads the production of broadcast content by managing the production operations and budgets, providing creative direction to the production cast as well as overseeing post-production processes to lead the content to completion. He/She is responsible for ensuring the script readiness for production by collaborating with scriptwriters to develop the script in episodic series. He oversees the filming of the content and provides creative direction during filming. He manages the overall production operations, resolving issues and recommending solutions to improve the operations. He performs creative as well as management responsibilities and leads a team of roles responsible for the creative coordination and logistical management of production. In some instances, he is also responsible for hiring of the right cast for the production to enable the achievement of the creative vision of the production. The work involves leading projects or teams and provision of guidance to the production department in identifying projects with high customer and/or audience appeal and monetisation potential. He is expected to liaise with external and internal stakeholders. He should have a flair for translating an idea or story into the desired end product. He needs to have a pulse of the audience to understand the type of content would succeed and should therefore be produced. He also needs to be an expert project manager to deliver a project on time and within budget.",
